RestaurantID,RestaurantName,CountryCode,City,Locality,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,Rating,Year Opening,Month Opening,Day Opening
18435314,Punjabi's Veg Grill,1,New Delhi,Geeta Colony,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2013,9,21
18378015,Tasty Tandoor,1,New Delhi,Geeta Colony,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2016,9,10
18424905,Taste of Spice,1,New Delhi,Lajpat Nagar 1,North Indian,Indian Rupees(Rs.),No,Yes,No,No,1,0,400,1,2018,9,25
18180072,Kolcata Bengali Dhaba,1,New Delhi,Mahipalpur,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2018,9,6
18415377,Sunil Punjabi Dhaba,1,New Delhi,Mahipalpur,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,2013,9,17
18421485,Bikaner Restaurant,1,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2018,9,3
312413,Just In,1,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2011,9,16
303497,Shri Shyam Ji Shudh Shakahari Bhojnalaya,1,New Delhi,Najafgarh,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,2014,9,21
18354644,Shree Bhojnalaya,1,New Delhi,New Friends Colony,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2012,9,9
18366001,Baba Ka Dhaba,1,New Delhi,Palam,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2014,9,21
18486845,Kaka Da Dhaba,1,New Delhi,R K Puram,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2012,9,24
18424202,Famous Parantha and Poori Sabzi,1,New Delhi,Vasundhara Enclave,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,50,1,2014,9,20
18472678,Garam Masala,1,New Delhi,Defence Colony,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2013,8,10
18209806,Zaika-E-Chaap Express,1,New Delhi,Dilshad Garden,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,250,1,2010,8,20
18286922,Tandoori Nature,1,New Delhi,Jangpura,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,400,1,2017,8,24
18458302,Tinker Koch,1,New Delhi,Jangpura,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2013,8,15
7362,Vaishno Da Dhaba,1,New Delhi,Mahipalpur,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2010,8,24
18466400,Desi Thaat Amritsari Naan,1,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2015,8,13
18361779,Haryana Bhojnalaya,1,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2011,8,24
18354672,Karol Bagh Ke Chhole Bhature,1,New Delhi,Najafgarh,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,2017,8,21
18464641,Bala Ji Rasoi,1,New Delhi,Nangloi,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,350,1,2012,8,9
18312665,Best Chicken Corner,1,New Delhi,Nangloi,North Indian,Indian Rupees(Rs.),No,No,No,No,2,0,650,1,2010,8,4
18312572,Avatar Da Dhaba,1,New Delhi,Naraina,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2017,8,13
18349241,Curry Man,1,New Delhi,Naraina,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2016,8,6
18355121,Delicious Eating Corner,1,New Delhi,Nehru Place,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,400,1,2013,8,24
18289272,Massi's Kitchen,1,New Delhi,Pandav Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2014,8,6
18449949,Roll Junction,1,New Delhi,Pandav Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,2010,8,8
18451571,Amritsari Naan,1,New Delhi,Pitampura,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2016,8,3
18446496,Parantha on Call,1,New Delhi,Geeta Colony,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2018,7,26
18357972,Satnaam Foods,1,New Delhi,Mayur Vihar Phase 1,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2011,7,18
18375383,The Deshi Bites,1,New Delhi,Mayur Vihar Phase 3,North Indian,Indian Rupees(Rs.),No,No,No,No,2,0,500,1,2018,7,28
18236975,Syall Kotian Da Dhaba,1,New Delhi,Moti Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,2,0,500,1,2017,7,22
18361767,Jyoti Dhaba,1,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,2011,7,4
304610,Sangeeta Dhaba,1,New Delhi,Najafgarh,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2013,7,13
18352268,Little Delhi,1,New Delhi,R K Puram,North Indian,Indian Rupees(Rs.),No,No,No,No,2,0,500,1,2011,7,13
18352180,Ok Indian & Chinese Food Corner,1,New Delhi,R K Puram,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2011,7,3
18354987,Foodies,1,New Delhi,Sainik Farms,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,350,1,2014,7,20
18355147,Star Restaurant,1,New Delhi,Sainik Farms,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2014,7,2
18361206,Punjabi Flavour,1,New Delhi,Civil Lines,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2014,6,16
18292467,Anupam Jalpan,1,New Delhi,Daryaganj,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2018,6,23
18378032,Asia,1,New Delhi,Dilshad Garden,North Indian,Indian Rupees(Rs.),No,No,No,No,2,0,500,1,2010,6,20
18449634,Peshawari Mehel,1,New Delhi,Gujranwala Town,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,400,1,2017,6,15
18424902,All About Food,1,New Delhi,Hauz Khas,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2015,6,5
18421482,Breakfast Hut,1,New Delhi,Krishna Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2012,6,10
18425148,Shri Ram Dhaba,1,New Delhi,Lajpat Nagar 1,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2015,6,18
18410302,The Celiac Kitchen,1,New Delhi,Lajpat Nagar 1,North Indian,Indian Rupees(Rs.),No,No,No,No,2,0,500,1,2013,6,15
8033,Tip Top Eating Corner,1,New Delhi,Mayur Vihar Phase 1,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2018,6,27
18440429,K.D Corner,1,New Delhi,Mayur Vihar Phase 2,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2018,6,25
18489545,Rajdhani Restaurant,1,New Delhi,MG Road,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2012,6,16
18489852,Uttrakhand Hotel,1,New Delhi,MG Road,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2017,6,8
18449786,Fresh Fast Food,1,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2017,6,1
18361771,NIK's Chicken Corner,1,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2018,6,10
18449667,Taneja Corner,1,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2015,6,19
18017260,Babu Soup Wala,1,New Delhi,Nangloi,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2011,6,16
18432628,Aloo Bhaji Restaurant,1,New Delhi,Okhla Phase 1,North Indian,Indian Rupees(Rs.),No,No,No,No,2,0,500,1,2012,6,12
18466429,Pritam Tiffin Service,1,New Delhi,Palam,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2014,6,27
18312463,Chhotu Restaurant,1,New Delhi,Qutab Institutional Area,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,350,1,2012,6,13
18306540,Shree Jagannath Restaurant,1,New Delhi,Qutab Institutional Area,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,350,1,2017,6,28
18355145,Janta Canteen,1,New Delhi,Sainik Farms,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,2010,6,15
18357948,Sansar Hotel,1,New Delhi,Sarita Vihar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2015,6,4
18455547,Jiya Amritsari Naan,1,New Delhi,Subhash Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2015,6,2
305567,Sushil Punjabi Vaishno Dhaba,1,New Delhi,Subhash Nagar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,2018,6,12
18445361,Veg Food Express,1,New Delhi,Vivek Vihar,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,400,1,2014,6,27
18472628,Insane Foods,1,New Delhi,Geeta Colony,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,350,1,2016,5,22
18454468,Lahori Food,1,New Delhi,Jama Masjid,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,400,1,2011,5,22
